,path,latency,noise,snr
388,B ->F ,0.008505884427552877,0.0017000000000000001,27.69551078621726
389,B ->F ->E ,0.008505884427552877,0.0017000000000000001,27.69551078621726
390,B ->F ->E ->D ,0.008505884427552877,0.0017000000000000001,27.69551078621726
391,B ->F ->E ->D ->A ,0.008505884427552877,0.0017000000000000001,27.69551078621726
392,B ->F ->E ->D ->A ->C ,0.008505884427552877,0.0017000000000000001,27.69551078621726
393,B ,0.008505884427552877,0.0017000000000000001,27.69551078621726
394,B ->F ,0.008505884427552877,0.0017000000000000001,27.69551078621726
395,B ->F ->E ,0.008505884427552877,0.0017000000000000001,27.69551078621726
396,B ->F ->E ->D ,0.008505884427552877,0.0017000000000000001,27.69551078621726
397,B ->F ->E ->D ->C ,0.008505884427552877,0.0017000000000000001,27.69551078621726
398,B ,0.0065044998563639645,0.0013,28.86056647693163
399,B ->A ,0.0065044998563639645,0.0013,28.86056647693163
400,B ->A ->C ,0.0065044998563639645,0.0013,28.86056647693163
401,B ->A ->C ->D ,0.0065044998563639645,0.0013,28.86056647693163
402,B ,0.006504499856363965,0.0013000000000000002,28.86056647693163
403,B ->A ,0.006504499856363965,0.0013000000000000002,28.86056647693163
404,B ->A ->C ,0.006504499856363965,0.0013000000000000002,28.86056647693163
405,B ->A ->C ->E ,0.006504499856363965,0.0013000000000000002,28.86056647693163
406,B ->A ->C ->E ->D ,0.006504499856363965,0.0013000000000000002,28.86056647693163
407,B ,0.012008307427133474,0.0024000000000000002,26.19788758288394
408,B ->A ,0.012008307427133474,0.0024000000000000002,26.19788758288394
